Shazam Top 200 Poland Chart
"Wednesday, 22 February 2023 [performance over the past 7 days]"
Rank,Artist,Title
1,"Miley Cyrus","Flowers"
2,"Tiësto","Lay Low"
3,"Måneskin","GOSSIP (feat. Tom Morello)"
4,"sanah","najlepszy dzień w moim życiu"
5,"Rema","Calm Down"
6,"Dawid Podsiadło","mori"
7,"Michael Patrick Kelly","Wonders (feat. Rakim)"
8,"Lost Frequencies, Elley Duhé & X Ambassadors","Back To You"
9,"Metro Boomin, The Weeknd & 21 Savage","Creepin'"
10,"Lady Gaga","Bloody Mary"
11,"Restricted","Big Jet Plane"
12,"Kuban & FAVST","na okrągło"
13,"Loi","Gold"
14,"Coldplay","A Sky Full of Stars"
15,"Furkan Soysal","Ragga Clap"
16,"Claude","Ladada (Mes Derniers Mots)"
17,"Creeds","Push Up"
18,"Rema & Selena Gomez","Calm Down"
19,"Oliver Tree & Robin Schulz","Miss You"
20,"Cat Burns","people pleaser"
21,"Nicky Youre","Eyes On You"
22,"Jax Jones & Calum Scott","Whistle"
23,"Depeche Mode","Ghosts Again"
24,"Martin Garrix & JVKE","Hero"
25,"Jonas Blue & Felix Jaehn","Weekends"
26,"Coi Leray","Players"
27,"George Ezra","Dance All Over Me"
28,"Öwnboss & FAST BOY","Left & Right (Mixed)"
29,"2115, Blacha 2115 & White 2115","DRESSCODE (feat. Taco Hemingway)"
30,"Central Cee","LET GO"
31,"Drenchill","Starlight (feat. Jorik Burema)"
32,"Lanberry","Waniliowe"
33,"bryska","kraksa"
34,"Tribbs & Ben Cristovao","Future Champ"
35,"Miguel","Sure Thing"
36,"IGNACY","To Co Mam"
37,"Inna","Yummy"
38,"Timbaland","Give It to Me (feat. Justin Timberlake & Nelly Furtado)"
39,"Agnieszka Chylińska","Drań"
40,"Chico Rose","Alone Again (feat. Afrojack & Mougleta)"
41,"Ava Max","Dancing’s Done"
42,"Madonna","Back That Up To The Beat (demo version)"
43,"P!nk","Never Gonna Not Dance Again"
44,"Bizarrap & Shakira","Shakira: Bzrp Music Sessions, Vol. 53"
45,"Meghan Trainor","Made You Look"
46,"Snap!","Rhythm Is a Dancer"
47,"Steve Angello & Laidback Luke","Show Me Love (Radio Edit)"
48,"Bambi","IRL"
49,"Sam Smith & Kim Petras","Unholy"
50,"Skolim","Nie Dzwoń do Mnie Mała"
51,"PNAU & Troye Sivan","You Know What I Need"
52,"Oskar Cyms","Nic więcej"
53,"Sam Smith","I'm Not Here To Make Friends"
54,"Misha Xramovi","Gaichite"
55,"EMO","Wybacz (from the movie "Heaven In Hell")"
56,"KAMRAD","Feel Alive"
57,"Holy Molly & LIZOT","Sunday Night"
58,"Blanka","Solo"
59,"twocolors","Heavy Metal Love"
60,"DJ Cargo","Everybody"
61,"Juice WRLD","All Girls Are The Same"
62,"Dj Belite","All Eyes on Me"
63,"Sparky Deathcap","September"
64,"Lil Nas X","STAR WALKIN' (League of Legends Worlds Anthem)"
65,"Rihanna","Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By)"
66,"David Guetta & Bebe Rexha","I'm Good (Blue)"
67,"Jengi","Bel Mercy"
68,"Cyrko","Prywatny bal"
69,"IGNACY","Czekam Na Znak"
70,"Aerosmith","Dream On"
71,"Tiësto & Tate McRae","10:35"
72,"LINKIN PARK","Lost"
73,"Dedublüman & Mavzer Tabancas","Belki (feat. Mavzer Tabancas)"
74,"A.V.G & Tatar","Ножевой"
75,"Manu Chao","Me Gustas Tu"
76,"SZA","Kill Bill"
77,"Tom Odell","Another Love"
78,"Topic & HRVY","All Or Nothing"
79,"JAY-Z & Kanye West","Why I Love You (feat. Mr Hudson)"
80,"Richy Mitch & The Coal Miners","Evergreen"
81,"Siavash","Dokhtar Irouni"
82,"Mateusz Ziółko","Lubisz nas"
83,"RAYE & 070 Shake","Escapism."
84,"FAVST & Gibbs","Ztb"
85,"Jason Derulo & David Guetta","Saturday / Sunday"
86,"Olivia Addams & Dylan Fuentes","Telepathy"
87,"Hinol Polska Wersja, Jano Polska Wersja & Gibbs","Exit (feat. Polska Wersja)"
88,"Clams Casino & Imogen Heap","I'm God"
89,"Xcho","Ты и Я"
90,"Felix Jaehn & Ray Dalton","Call It Love"
91,"Eminem","Mockingbird"
92,"Camila Cabello","Shameless"
